paracetamol
ibuprofen
diclofenac
aspirin
aceclofenac
nimesulide
metformin
glimepiride
glipizide
sitagliptin
vildagliptin
insulin
amlodipine
atenolol
ramipril
telmisartan
losartan
metoprolol
hydrochlorothiazide
furosemide
spironolactone
azithromycin
amoxicillin
amoxicillin clavulanate
augmentin
cefixime
ceftriaxone
cefpodoxime
doxycycline
metronidazole
ciprofloxacin
levofloxacin
clarithromycin
pantoprazole
omeprazole
rabeprazole
esomeprazole
ondansetron
domperidone
metoclopramide
montelukast
salbutamol
budesonide
theophylline
ipratropium
atorvastatin
rosuvastatin
clopidogrel
aspirin
enoxaparin
heparin
tramadol
morphine
fentanyl
buprenorphine
diazepam
alprazolam
clonazepam
prednisolone
dexamethasone
hydrocortisone
methylprednisolone
levothyroxine
carbimazole
calcium carbonate
vitamin d3
vitamin b12
folic acid
iron
ferrous sulphate
zinc
ranitidine
sucralfate
lactulose
bisacodyl
cetirizine
loratadine
hydroxyzine
amlodipine
nifedipine
diltiazem
enalapril
lisinopril
phenytoin
valproate
levetiracetam
carbamazepine
gabapentin
pregabalin
amitriptyline
sertraline
escitalopram
fluoxetine
olanzapine
haloperidol
risperidone
methotrexate
hydroxychloroquine
sulfasalazine
allopurinol
colchicine
warfarin
rivaroxaban
apixaban
digoxin
amiodarone
