fever
cough
cold
headache
bodyache
body ache
chest pain
breathlessness
shortness of breath
difficulty breathing
abdominal pain
abdomen pain
stomach pain
stomach ache
nausea
vomiting
loose stools
diarrhea
diarrhoea
constipation
burning micturition
dysuria
frequency
urgency
blood in urine
hematuria
giddiness
dizziness
vertigo
weakness
fatigue
lethargy
tiredness
weight loss
weight gain
loss of appetite
anorexia
palpitations
swelling
edema
pedal edema
leg swelling
backache
back pain
lower back pain
joint pain
arthralgia
myalgia
muscle pain
rash
itching
pruritus
jaundice
yellowish discoloration
eye pain
blurred vision
double vision
ear pain
hearing loss
tinnitus
nasal discharge
blocked nose
sore throat
throat pain
difficulty swallowing
dysphagia
hemoptysis
blood in sputum
chest tightness
wheeze
wheezing
syncope
fainting
seizure
fits
tremor
numbness
tingling
burning sensation
burning feet
polyuria
polydipsia
polyphagia
hair loss
excessive sweating
night sweats
chills
rigors
