hypertension
essential hypertension
diabetes mellitus
type 2 diabetes
type 1 diabetes
gestational diabetes
pneumonia
community acquired pneumonia
urinary tract infection
uti
upper respiratory tract infection
urti
lower respiratory tract infection
lrti
acute gastroenteritis
typhoid fever
enteric fever
dengue fever
dengue
malaria
falciparum malaria
vivax malaria
tuberculosis
pulmonary tuberculosis
extrapulmonary tuberculosis
ischemic heart disease
coronary artery disease
myocardial infarction
heart failure
congestive heart failure
atrial fibrillation
arrhythmia
angina
unstable angina
acute kidney injury
chronic kidney disease
nephrotic syndrome
nephritic syndrome
liver cirrhosis
hepatitis b
hepatitis c
fatty liver
non alcoholic fatty liver disease
hypothyroidism
hyperthyroidism
thyroid disorder
goitre
anemia
iron deficiency anemia
vitamin b12 deficiency
aplastic anemia
asthma
bronchial asthma
copd
chronic obstructive pulmonary disease
bronchitis
pleural effusion
pneumothorax
appendicitis
acute appendicitis
cholecystitis
cholelithiasis
gallstones
pancreatitis
acute pancreatitis
peptic ulcer
gastric ulcer
duodenal ulcer
gerd
gastroesophageal reflux disease
irritable bowel syndrome
fracture
dislocation
ligament tear
tendinitis
osteoarthritis
rheumatoid arthritis
gout
stroke
cerebrovascular accident
tia
transient ischemic attack
seizure disorder
epilepsy
migraine
tension headache
meningitis
encephalitis
sepsis
cellulitis
abscess
dengue hemorrhagic fever
chickenpox
varicella
measles
mumps
